scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
baseline,25.5,ALERT_TOTAL,"0.985 [0.967, 0.997]","0.220 [0.120, 0.340]","366.0 [151.5, 626.0]","433.1 [161.2, 786.3]","457.5 [181.0, 822.5]","0.030 [0.029, 0.030]"
baseline,25.5,DIAG_TOTAL,"0.880 [0.796, 0.953]","0.178 [0.089, 0.278]","130.4 [68.07, 200.6]","322.2 [121.6, 609.3]","497.7 [215.2, 864.2]","0.082 [0.074, 0.089]"
baseline,25.5,EV_BACKGROUND_TOTAL,"0.965 [0.928, 0.991]","0.000 [0.000, 0.000]","273.0 [135.4, 432.1]","410.2 [160.4, 749.4]","497.9 [216.9, 864.0]","25.05 [24.00, 25.78]"
baseline,25.5,FAULT_TOTAL,"0.954 [0.914, 0.985]","0.220 [0.120, 0.340]","288.0 [140.9, 452.8]","458.6 [179.5, 825.7]","492.0 [212.9, 854.7]","0.819 [0.780, 0.849]"
baseline,25.5,TOTAL,"0.944 [0.899, 0.979]","0.213 [0.115, 0.330]","267.4 [127.4, 417.1]","448.3 [176.9, 806.6]","491.1 [213.1, 853.7]","0.931 [0.886, 0.968]"
baseline,26.0,ALERT_TOTAL,"0.983 [0.963, 0.996]","0.269 [0.157, 0.389]","395.5 [187.0, 648.4]","472.1 [201.1, 825.8]","515.7 [232.3, 877.3]","0.030 [0.029, 0.030]"
baseline,26.0,DIAG_TOTAL,"0.855 [0.769, 0.932]","0.217 [0.122, 0.319]","138.2 [78.37, 203.1]","340.1 [142.8, 624.1]","548.6 [265.6, 920.9]","0.080 [0.072, 0.087]"
baseline,26.0,EV_BACKGROUND_TOTAL,"0.962 [0.923, 0.989]","0.000 [0.000, 0.000]","308.9 [166.9, 465.3]","451.8 [200.6, 782.4]","548.8 [266.2, 909.8]","25.44 [24.39, 26.21]"
baseline,26.0,FAULT_TOTAL,"0.950 [0.909, 0.982]","0.299 [0.180, 0.439]","332.8 [177.9, 497.6]","510.8 [235.2, 877.7]","548.9 [261.4, 911.2]","0.814 [0.775, 0.845]"
baseline,26.0,TOTAL,"0.937 [0.892, 0.974]","0.285 [0.170, 0.408]","305.6 [165.7, 459.1]","497.0 [225.9, 864.5]","547.1 [259.6, 914.1]","0.924 [0.877, 0.962]"
